regime,predicate_count,regime_size_aug,regime_size_reference,rescued_positive_count,harmed_benign_count,genes_with_rescued_positive,path_rescue_margin_mean,benign_rescue_margin_mean,reference_gap,strict_gate_pass,composite_score
very_high_disagreement__AND__high_frob_q75,2,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
very_high_disagreement__AND__high_frob_q80,2,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
very_high_disagreement__AND__high_disagreement_q75,2,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
very_high_disagreement__AND__high_disagreement_q85,2,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
very_high_disagreement__AND__high_ref_adv_q75,2,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
very_high_disagreement__AND__high_ref_adv_q85,2,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
support_rank_top10__AND__very_high_disagreement,2,60,87,14,33,4,0.14185764997045006,0.21199594496009566,-0.007630891719714983,False,0.0
charge_flip__AND__support_rank_top10,2,919,1854,14,17,4,-0.19728172885735545,-0.11074509442705044,-0.050478547517456354,False,0.0
charge_flip,1,919,4048,14,17,4,-0.19728172885735545,-0.11074509442705044,-0.06580930115569952,False,0.0
charge_flip__AND__high_frob_q75,2,242,1162,14,17,4,-0.0901273075706291,0.000294472847956975,-0.1546823080790044,False,0.0
charge_flip__AND__high_frob_q80,2,194,939,14,17,4,-0.0633513701328108,0.021238906099046915,-0.15565832037458643,False,0.0
charge_flip__AND__high_disagreement_q75,2,311,801,13,17,4,-0.06190745447894252,-0.0350750052050215,0.027548491098559467,False,0.0732565048578111
charge_flip__AND__high_ref_adv_q75,2,311,801,13,17,4,-0.06190745447894252,-0.0350750052050215,0.027548491098559467,False,0.0732565048578111
charge_flip__AND__high_disagreement_q85,2,183,530,13,17,4,-0.0070611384344399395,0.016794684148569963,0.024557257014613407,False,0.07323540529009395
charge_flip__AND__high_ref_adv_q85,2,183,530,13,17,4,-0.0070611384344399395,0.016794684148569963,0.024557257014613407,False,0.07323540529009395
high_frob_low_ll,1,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
high_frob_low_ll__AND__high_frob_q75,2,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
high_frob_low_ll__AND__high_frob_q80,2,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
