model_label,family_label,architecture_kind,rule_type,threshold,confidence_threshold,n_rule_on,fraction_rule_on,coverage_target,coverage_floor_pass,pathogenic_fraction_rule_on,pathogenic_fraction_rule_off,enrichment_gap,gap_ci_low,gap_ci_high,positive_with_rule,negative_with_rule,positive_without_rule,negative_without_rule,odds_ratio,random_gap_mean,random_gap_p95,random_gap_p05
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,0.1,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05340339294668228,0.22889854587999336,32,30,83,110,1.410130558555021,3.65619254554625e-05,0.12869797760320906,-0.10678171485876642
ProtBERT,bert_style,bidirectional_encoder,pair_only,0.1,,1,0.00392156862745098,13,False,0.0,0.452755905511811,-0.452755905511811,-0.5118110236220472,-0.38976377952755903,0,1,115,139,0.4025974025974026,-0.026082677165354326,0.5511811023622047,-0.452755905511811
ProtBERT,bert_style,bidirectional_encoder,scalar_only,0.1,,254,0.996078431372549,13,True,0.44881889763779526,1.0,-0.5511811023622047,-0.610236220472441,-0.4921259842519685,114,140,1,0,0.27164887307236063,0.000984251968503933,0.452755905511811,-0.5511811023622047
ProtBERT,bert_style,bidirectional_encoder,combined,0.1,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.1,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.1,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.1,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,0.15,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.057329099114156734,0.22949816145746277,32,30,83,110,1.410130558555021,0.000302941668059506,0.10738759819488547,-0.1057161958883503
ProtBERT,bert_style,bidirectional_encoder,pair_only,0.15,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,scalar_only,0.15,,254,0.996078431372549,13,True,0.44881889763779526,1.0,-0.5511811023622047,-0.610236220472441,-0.4881889763779528,114,140,1,0,0.27164887307236063,-0.026624015748031492,0.452755905511811,-0.5511811023622047
ProtBERT,bert_style,bidirectional_encoder,combined,0.15,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.15,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.15,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.15,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,0.2,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05273274277118506,0.23065351830185526,32,30,83,110,1.410130558555021,0.006323123850910919,0.12869797760320906,-0.1057161958883503
ProtBERT,bert_style,bidirectional_encoder,pair_only,0.2,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,scalar_only,0.2,,254,0.996078431372549,13,True,0.44881889763779526,1.0,-0.5511811023622047,-0.6103346456692914,-0.4921259842519685,114,140,1,0,0.27164887307236063,-0.0015255905511811086,0.452755905511811,-0.5511811023622047
ProtBERT,bert_style,bidirectional_encoder,combined,0.2,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.2,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.2,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.2,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,0.25,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05791408992144409,0.22490180511449098,32,30,83,110,1.410130558555021,0.007015711181681431,0.12869797760320906,-0.1057161958883503
ProtBERT,bert_style,bidirectional_encoder,pair_only,0.25,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,scalar_only,0.25,,251,0.984313725490196,13,True,0.44223107569721115,1.0,-0.5577689243027888,-0.6175298804780877,-0.4940239043824701,111,140,4,0,0.0881771451166469,0.018139940239043827,0.4581673306772908,-0.30378486055776893
ProtBERT,bert_style,bidirectional_encoder,combined,0.25,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.25,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.25,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT,bert_style,bidirectional_encoder,combined_confident,0.25,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,0.05,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.0619400802273107,0.22490180511449098,32,30,83,110,1.410130558555021,0.0026470834029750966,0.12869797760320906,-0.1057161958883503
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,0.05,,1,0.00392156862745098,13,False,0.0,0.452755905511811,-0.452755905511811,-0.5118110236220472,-0.38976377952755903,0,1,115,139,0.4025974025974026,0.001525590551181104,0.5511811023622047,-0.452755905511811
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_only,0.05,,252,0.9882352941176471,13,True,0.45634920634920634,0.0,0.45634920634920634,0.39285714285714285,0.5198412698412699,115,137,0,3,5.88,0.01701388888888892,0.45634920634920634,-0.5555555555555556
ProtBERT-BFD,bert_style,bidirectional_encoder,combined,0.05,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.05,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.05,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.05,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,0.1,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05791408992144409,0.22490180511449098,32,30,83,110,1.410130558555021,-0.0020944760153768973,0.12976349657362427,-0.12702657529667388
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,0.1,,1,0.00392156862745098,13,False,0.0,0.452755905511811,-0.452755905511811,-0.5118110236220472,-0.3937007874015748,0,1,115,139,0.4025974025974026,-0.033612204724409456,0.5511811023622047,-0.452755905511811
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_only,0.1,,248,0.9725490196078431,13,True,0.4637096774193548,0.0,0.4637096774193548,0.4032258064516129,0.5282258064516129,115,133,0,7,12.97752808988764,0.008719758064516135,0.31682027649769584,-0.2707373271889401
ProtBERT-BFD,bert_style,bidirectional_encoder,combined,0.1,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.1,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.1,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.1,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,0.15,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.051577385926792584,0.22608641149924769,32,30,83,110,1.410130558555021,-0.0022010279124185165,0.10738759819488547,-0.12809209426709
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,0.15,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
